ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,ID,N_VICTIMAS,HH,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,UBICACION
2016-0162,2016-12-07,2016,12,7,PEATON,PEATON,MASCULINO,38,2017-01-01 00:00:00,2016-0162,1,5,AVENIDA,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON-AUTO,AUTO,1.0
2016-0163,2016-12-10,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23,SD,2016-0163,1,7,GRAL PAZ,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO-AUTO,AUTO,1.0
2016-0164,2016-12-11,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29,SD,2016-0164,1,6,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,1.0
2016-0165,2016-12-12,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37,SD,2016-0165,1,8,AVENIDA,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,PASAJEROS,0.0
2016-0168,2016-12-13,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43,2016-12-13 00:00:00,2016-0168,1,10,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO-AUTO,AUTO,1.0
2016-0169,2016-12-15,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24,2016-12-16 00:00:00,2016-0169,1,15,AVENIDA,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO-PASAJEROS,PASAJEROS,1.0
2016-0170,2016-12-19,2016,12,19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21,2016-12-19 00:00:00,2016-0170,1,17,GRAL PAZ,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.56379980,MOTO-AUTO,AUTO,0.0
2016-0172,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38,2016-12-26 00:00:00,2016-0172,1,8,AVENIDA,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO-CARGAS,CARGAS,1.0
2016-0173,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35,SD,2016-0173,1,19,AVENIDA,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO-CARGAS,CARGAS,1.0
2016-0176,2016-12-28,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28,SD,2016-0176,1,1,AVENIDA,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,PASAJEROS,1.0
2016-0177,2016-12-29,2016,12,29,PEATON,PEATON,FEMENINO,27,SD,2016-0177,1,4,CALLE,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON-AUTO,AUTO,0.0
2016-0178,2016-12-30,2016,12,30,PEATON,PEATON,FEMENINO,7,SD,2016-0178,1,16,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,MULTIPLE,MULTIPLE,1.0
2017-0001,2017-01-02,2017,1,2,CONDUCTOR,MOTO,MASCULINO,18,2017-01-02 00:00:00,2017-0001,1,1,AVENIDA,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.46594230,-34.61028571,MOTO-CARGAS,CARGAS,1.0
2017-0003,2017-01-05,2017,1,5,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33,2017-01-05 00:00:00,2017-0003,1,3,AVENIDA,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS-CARGAS,CARGAS,1.0
2017-0007,2017-01-11,2017,1,11,PEATON,PEATON,MASCULINO,48,2017-01-11 00:00:00,2017-0007,1,17,CALLE,LIMA y MEXICO,1,-58.38161660,-34.61529543,MULTIPLE,MULTIPLE,1.0
2017-0008,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29,2017-01-16 00:00:00,2017-0008,1,0,CALLE,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,MOTO-PASAJEROS,PASAJEROS,1.0
2017-0009,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36,2017-01-16 00:00:00,2017-0009,1,13,AUTOPISTA,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,MOTO-CARGAS,CARGAS,
2017-0010,2017-01-16,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23,2017-01-16 00:00:00,2017-0010,1,16,AVENIDA,DIRECTORIO AV. y RIGLOS,6,-58.43564880,-34.62828656,MOTO-AUTO,AUTO,1.0
2017-0011,2017-01-22,2017,1,22,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,29,2017-01-22 00:00:00,2017-0011,1,2,GRAL PAZ,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MOTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0012,2017-01-24,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30,2017-01-24 00:00:00,2017-0012,1,14,CALLE,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.65055290,MOTO-CARGAS,CARGAS,1.0
2017-0013,2017-01-27,2017,1,27,PEATON,PEATON,MASCULINO,4,2017-01-27 00:00:00,2017-0013,1,7,AVENIDA,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON-CARGAS,CARGAS,0.0
2017-0014,2017-01-28,2017,1,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,2017-01-28 00:00:00,2017-0014,1,8,AVENIDA,DONADO y ARIAS,12,-58.49185972,-34.55046754,MULTIPLE,MULTIPLE,1.0
2017-0015,2017-02-02,2017,2,2,PEATON,PEATON,MASCULINO,82,2017-02-21 00:00:00,2017-0015,1,15,AVENIDA,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON-AUTO,AUTO,1.0
2017-0016,2017-02-03,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27,2017-02-04 00:00:00,2017-0016,1,5,AUTOPISTA,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO-CARGAS,CARGAS,
2017-0017,2017-02-06,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32,2017-02-06 00:00:00,2017-0017,1,8,AVENIDA,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.42901200,-34.58095431,MOTO-AUTO,AUTO,1.0
2017-0018,2017-02-09,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30,2017-02-09 00:00:00,2017-0018,1,7,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO-AUTO,AUTO,1.0
2017-0021,2017-02-18,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43,2017-02-18 00:00:00,2017-0021,1,5,CALLE,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO-PASAJEROS,PASAJEROS,1.0
2017-0024,2017-02-23,2017,2,23,PEATON,PEATON,MASCULINO,39,2017-02-23 00:00:00,2017-0024,1,20,AVENIDA,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON-PASAJEROS,PASAJEROS,0.0
2017-0025,2017-02-24,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23,2017-02-24 00:00:00,2017-0025,1,17,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.65424640,MOTO-SD,SD,1.0
2017-0026,2017-02-26,2017,2,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,2017-02-26 00:00:00,2017-0026,2,5,AVENIDA,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0026,2017-02-26,2017,2,26,CONDUCTOR,AUTO,MASCULINO,19,2017-02-26 00:00:00,2017-0026,2,5,AVENIDA,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
2017-0028,2017-02-28,2017,2,28,PEATON,PEATON,MASCULINO,87,2017-02-28 00:00:00,2017-0028,1,9,AVENIDA,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON-AUTO,AUTO,1.0
2017-0029,2017-03-07,2017,3,7,SD,SD,MASCULINO,34,2017-03-07 00:00:00,2017-0029,1,2,CALLE,MOZART y TANDIL,9,-58.48501341,-34.64742455,SD-AUTO,AUTO,1.0
2017-0030,2017-03-07,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27,2017-03-07 00:00:00,2017-0030,1,8,AVENIDA,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO-PASAJEROS,PASAJEROS,1.0
2017-0031,2017-03-11,2017,3,11,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,70,2017-03-11 00:00:00,2017-0031,1,1,CALLE,24 DE NOVIEMBRE y PAVON,3,-58.40997560,-34.62873635,AUTO-OBJETO FIJO,OBJETO FIJO,1.0
